      localhos   PRTAB(31DEC16)    1555               05-MAR-2018   21:49:22               Page    1
CALSFEB27   .ELWA  .   1  Disk= 2    SN Table version   2
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 05-MAR-2018 13:24:25
Last written by FRING on 05-MAR-2018 15:14:49
Ncol 26  Nrow 2222    Sort cols:
    Table has     8 keyword-value pairs:
   NO_ANT   =           52
   NO_POL   =            2
   NO_IF    =            1
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table can be written as a FITS ASCII table
 
COL. NO.       1           2          3          4         5        6        7         8        9        10       11       12
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
      61  04:56:05.5  00:01:04.0      3         23         1        1       0.000      0       0.000    0.000    0.000   0.9292
      62  04:56:05.5  00:01:04.0      3         24         1        1       0.000      0       0.000    0.000    0.000   0.4024
      63  04:56:05.5  00:01:04.0      3         25         1        1       0.000      0       0.000    0.000    0.000  -0.9980
      64  04:56:05.5  00:01:04.0      3         27         1        1       0.000      0       0.000    0.000    0.000   0.1104
      65  04:56:05.5  00:01:04.0      3         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
      66  04:56:05.5  00:01:04.0      3         52         1        1       0.000      0       0.000    0.000    0.000   0.9760
      67  04:57:10.5  00:01:04.0      3          1         1        1       0.000      0       0.000    0.000    0.000  -0.9273
      68  04:57:10.5  00:01:04.0      3          2         1        1       0.000      0       0.000    0.000    0.000  -0.9511
      69  04:57:10.5  00:01:04.0      3          3         1        1       0.000      0       0.000    0.000    0.000   0.5794
      70  04:57:10.5  00:01:04.0      3          4         1        1       0.000      0       0.000    0.000    0.000   0.6025
      71  04:57:10.5  00:01:04.0      3          5         1        1       0.000      0       0.000    0.000    0.000   0.6529
      72  04:57:10.5  00:01:04.0      3          6         1        1       0.000      0       0.000    0.000    0.000  -0.9073
      73  04:57:10.5  00:01:04.0      3          7         1        1       0.000      0       0.000    0.000    0.000  -0.3754
      74  04:57:10.5  00:01:04.0      3          8         1        1       0.000      0       0.000    0.000    0.000  -0.3138
      75  04:57:10.5  00:01:04.0      3          9         1        1       0.000      0       0.000    0.000    0.000   0.8873
      76  04:57:10.5  00:01:04.0      3         10         1        1       0.000      0       0.000    0.000    0.000   0.3215
      77  04:57:10.5  00:01:04.0      3         11         1        1       0.000      0       0.000    0.000    0.000   0.9004
      78  04:57:10.5  00:01:04.0      3         12         1        1       0.000      0       0.000    0.000    0.000   0.9897
      79  04:57:10.5  00:01:04.0      3         14         1        1       0.000      0       0.000    0.000    0.000   0.2327
      80  04:57:10.5  00:01:04.0      3         18         1        1       0.000      0       0.000    0.000    0.000   0.5504
      81  04:57:10.5  00:01:04.0      3         19         1        1       0.000      0       0.000    0.000    0.000  -0.8175
      82  04:57:10.5  00:01:04.0      3         20         1        1       0.000      0       0.000    0.000    0.000  -0.1411
      83  04:57:10.5  00:01:04.0      3         23         1        1       0.000      0       0.000    0.000    0.000  -0.7063
      84  04:57:10.5  00:01:04.0      3         24         1        1       0.000      0       0.000    0.000    0.000   0.4957
      85  04:57:10.5  00:01:04.0      3         25         1        1       0.000      0       0.000    0.000    0.000  -0.8425
      86  04:57:10.5  00:01:04.0      3         27         1        1       0.000      0       0.000    0.000    0.000  -0.9068
      87  04:57:10.5  00:01:04.0      3         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
      88  04:57:10.5  00:01:04.0      3         52         1        1       0.000      0       0.000    0.000    0.000   0.2411
      89  05:05:52.9  00:01:05.0      3          1         1        1       0.000      0       0.000    0.000    0.000     INDE
      90  05:05:52.9  00:01:05.0      3          2         1        1       0.000      0       0.000    0.000    0.000     INDE
      91  05:05:52.9  00:01:05.0      3          3         1        1       0.000      0       0.000    0.000    0.000     INDE
      92  05:05:52.9  00:01:05.0      3          4         1        1       0.000      0       0.000    0.000    0.000     INDE
      localhos   PRTAB(31DEC16)    1555               05-MAR-2018   21:49:22               Page    3
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
      93  05:05:52.9  00:01:05.0      3          5         1        1       0.000      0       0.000    0.000    0.000     INDE
      94  05:05:52.9  00:01:05.0      3          6         1        1       0.000      0       0.000    0.000    0.000     INDE
      95  05:05:52.9  00:01:05.0      3          7         1        1       0.000      0       0.000    0.000    0.000     INDE
      96  05:05:52.9  00:01:05.0      3          8         1        1       0.000      0       0.000    0.000    0.000     INDE
      97  05:05:52.9  00:01:05.0      3          9         1        1       0.000      0       0.000    0.000    0.000     INDE
      98  05:05:52.9  00:01:05.0      3         10         1        1       0.000      0       0.000    0.000    0.000     INDE
      99  05:05:52.9  00:01:05.0      3         11         1        1       0.000      0       0.000    0.000    0.000     INDE
