      localhos   PRTAB(31DEC16)    1555               06-MAR-2018   15:03:40               Page    1
CALSFEB27   .ELWA  .   1  Disk= 2    SN Table version   3
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 06-MAR-2018 14:40:37
Last written by FRING on 06-MAR-2018 14:48:31
Ncol 26  Nrow 176    Sort cols:
    Table has     8 keyword-value pairs:
   NO_ANT   =           52
   NO_POL   =            2
   NO_IF    =            1
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table can be written as a FITS ASCII table
 
COL. NO.       1           2          3          4         5        6        7         8        9        10       11       12
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
     106  04:41:56.9  00:01:05.0      2         24         1        1       0.000      0       0.000    0.000    0.000   0.5920
     107  04:41:56.9  00:01:05.0      2         25         1        1       0.000      0       0.000    0.000    0.000   0.9976
     108  04:41:56.9  00:01:05.0      2         27         1        1       0.000      0       0.000    0.000    0.000   0.7262
     109  04:41:56.9  00:01:05.0      2         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
     110  04:41:56.9  00:01:05.0      2         52         1        1       0.000      0       0.000    0.000    0.000     INDE
     111  04:43:02.4  00:01:04.0      2          1         1        1       0.000      0       0.000    0.000    0.000   0.9644
     112  04:43:02.4  00:01:04.0      2          2         1        1       0.000      0       0.000    0.000    0.000   0.3758
     113  04:43:02.4  00:01:04.0      2          3         1        1       0.000      0       0.000    0.000    0.000   0.0534
     114  04:43:02.4  00:01:04.0      2          4         1        1       0.000      0       0.000    0.000    0.000  -0.9980
     115  04:43:02.4  00:01:04.0      2          5         1        1       0.000      0       0.000    0.000    0.000   0.6640
     116  04:43:02.4  00:01:04.0      2          6         1        1       0.000      0       0.000    0.000    0.000  -0.5986
     117  04:43:02.4  00:01:04.0      2          7         1        1       0.000      0       0.000    0.000    0.000   0.7138
     118  04:43:02.4  00:01:04.0      2          8         1        1       0.000      0       0.000    0.000    0.000  -0.9528
     119  04:43:02.4  00:01:04.0      2          9         1        1       0.000      0       0.000    0.000    0.000   0.8322
     120  04:43:02.4  00:01:04.0      2         10         1        1       0.000      0       0.000    0.000    0.000  -0.6131
     121  04:43:02.4  00:01:04.0      2         11         1        1       0.000      0       0.000    0.000    0.000   0.6449
     122  04:43:02.4  00:01:04.0      2         12         1        1       0.000      0       0.000    0.000    0.000  -0.1206
     123  04:43:02.4  00:01:04.0      2         14         1        1       0.000      0       0.000    0.000    0.000  -0.9920
     124  04:43:02.4  00:01:04.0      2         18         1        1       0.000      0       0.000    0.000    0.000   0.6399
     125  04:43:02.4  00:01:04.0      2         19         1        1       0.000      0       0.000    0.000    0.000   0.9999
     126  04:43:02.4  00:01:04.0      2         20         1        1       0.000      0       0.000    0.000    0.000  -0.2998
     127  04:43:02.4  00:01:04.0      2         23         1        1       0.000      0       0.000    0.000    0.000   0.6287
     128  04:43:02.4  00:01:04.0      2         24         1        1       0.000      0       0.000    0.000    0.000  -0.9719
     129  04:43:02.4  00:01:04.0      2         25         1        1       0.000      0       0.000    0.000    0.000   0.9958
     130  04:43:02.4  00:01:04.0      2         27         1        1       0.000      0       0.000    0.000    0.000  -0.9534
     131  04:43:02.4  00:01:04.0      2         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
     132  04:43:02.4  00:01:04.0      2         52         1        1       0.000      0       0.000    0.000    0.000     INDE
     133  04:44:07.4  00:01:04.0      2          1         1        1       0.000      0       0.000    0.000    0.000   0.7643
